,name,joined_time,username,related_user_id,followers_count,tweet_count
0,Pomp 🌪,2011-07-20T14:43:36.000Z,APompliano,339061487,1613887,64419
1,Ty Smith,2018-02-09T14:33:52.000Z,TyDanielSmith,961971412528517120,21257,4954
2,Tone Vays,2014-06-20T02:28:08.000Z,ToneVays,2577886615,280067,24946
3,Tyler Winklevoss,2009-03-13T18:31:13.000Z,tyler,24222556,1052335,12439
4,vitalik.eth,2011-05-08T16:03:03.000Z,VitalikButerin,295218901,3874335,17325
5,WendyO.eth ✨,2017-11-29T05:28:48.000Z,CryptoWendyO,935742315389444096,283972,34226
6,Stacking,2011-12-08T02:30:53.000Z,StackingUSD,431243238,90008,471
7,Girl Gone Crypto,2019-07-15T15:34:47.000Z,girlgone_crypto,1150790822813560833,204400,16449
8,Euclid & Oaks,2018-01-08T21:57:22.000Z,EuclidAndOaks,950486611363553280,3565,883
9,Crypto Euclid,2018-01-16T17:24:28.000Z,CryptoEuclid,953317038474309632,29250,117947
10,OAKS | GGG,2012-11-08T04:27:19.000Z,mysticaloaks,933631656,19804,97970
11,David Gokhshtein,2010-07-23T20:33:57.000Z,davidgokhshtein,170049408,641680,89944
12,Hailey Lennon,2015-09-30T21:21:51.000Z,HaileyLennonBTC,3740778132,80958,39125
13,H.E. Justin Sun 🅣🌞🇬🇩,2017-08-30T10:22:57.000Z,justinsuntron,902839045356744704,3354261,14614
14,Ivan on Tech Web3 🥑 - Building Moralis Web3,2011-10-14T08:29:45.000Z,IvanOnTech,390627208,382271,15151
15,Kenn Bosak,2016-01-02T03:56:10.000Z,KennethBosak,4693571508,77354,87477
16,Backup Account,2019-09-17T07:53:33.000Z,CryptoBrekkie,1173867484887171072,1671,3
17,The Crypto Dog🫐,2017-07-19T18:56:38.000Z,TheCryptoDog,887748030304329728,744855,13331
18,Ben Armstrong,2018-01-18T14:58:38.000Z,Bitboy_Crypto,954005112174862336,842484,23921
19,Dan Held,2013-07-16T15:50:59.000Z,danheld,1598709350,590688,65180
20,Peter McCormack ☠️,2017-08-05T12:59:03.000Z,PeterMcCormack,893818632089763840,486394,48640
21,Layah Heilpern,2012-01-05T17:51:51.000Z,LayahHeilpern,455937214,229574,70826
22,Coinbound - Web3 Marketing Agency,2021-10-27T15:51:40.000Z,coinboundio,1453388747660218368,1513,203
23,Bitcoin,2011-08-18T05:06:08.000Z,Bitcoin,357312062,5250980,23987
24,Andreas,2013-05-30T06:33:49.000Z,aantonop,1469101279,730613,30954
25,Rhythm,2017-12-22T17:39:05.000Z,Rhythmtrader,944261020914249729,55416,3064
26,Whale Alert,2018-09-12T11:09:12.000Z,whale_alert,1039833297751302144,2274095,64940
27,CoinDesk,2013-04-07T07:50:08.000Z,CoinDesk,1333467482,2848798,93030
28,Bloomberg Crypto,2017-11-09T23:00:29.000Z,crypto,928759224599040001,900594,11744
29,Binance,2017-06-22T08:38:15.000Z,binance,877807935493033984,8832468,20646
30,Bitcoin News,2015-07-09T08:58:22.000Z,BTCTN,3367334171,2570246,27448
31,BitcoinNews.com ⚡,2015-01-30T05:40:08.000Z,BitcoinNewsCom,3005014565,19206,45911
32,Daniel Larimer,2014-01-28T17:45:06.000Z,bytemaster7,2315849676,63830,2919
33,Charlie Lee Ⓜ️🕸️,2008-04-09T02:03:48.000Z,SatoshiLite,14338147,1070553,16433
34,CZ 🔶 Binance,2017-08-30T16:12:13.000Z,cz_binance,902926941413453824,6159602,3358
35,Brian Armstrong - barmstrong.eth,2008-04-14T01:10:52.000Z,brian_armstrong,14379660,1073096,979
36,Adam Back,2010-11-08T11:04:10.000Z,adam3us,213236426,472709,38337
37,Peter Todd,2013-05-31T04:23:58.000Z,peterktodd,1471313300,148819,54422
38,Matt Corallo,2011-02-24T00:54:36.000Z,TheBlueMatt,256755545,63592,9180
39,Nick Szabo,2014-06-15T01:56:14.000Z,NickSzabo4,2568108282,347429,32723
40,Jameson Lopp,2009-03-10T17:22:20.000Z,lopp,23618940,398863,35719
41,Aaron van Wirdum,2013-10-07T17:06:10.000Z,AaronvanW,1944727015,56920,10285
42,Willy Woo,2008-02-13T05:57:32.000Z,woonomic,13418472,1030206,8470
43,Weiss Crypto,2012-04-23T14:45:27.000Z,WeissCrypto,561274620,32543,5387
44,skew,2018-09-11T08:25:13.000Z,skewdotcom,1039429642099322880,52937,3143
45,Barry Silbert,2011-10-22T17:16:55.000Z,BarrySilbert,396045469,756432,11081
46,Spencer Bogart,2016-01-28T15:51:55.000Z,CremeDeLaCrypto,4826176219,110311,2102
47,John McAfee,2012-11-21T00:03:03.000Z,officialmcafee,961445378,1138359,65651
48,Roger Ver,2010-08-10T10:48:44.000Z,rogerkver,176758255,747559,3804
49,DonAlt,2017-06-23T11:53:51.000Z,CryptoDonAlt,878219545785372673,395767,25248
50,loom,2014-07-04T13:48:55.000Z,loomdart,2603525726,277479,68545
51,Linda Xie,2012-03-10T21:59:35.000Z,ljxie,520770492,149556,7268
52,IamNomad,2009-03-01T07:47:18.000Z,IamNomad,22341856,153152,41838
53,Looposhi,2014-02-28T16:43:01.000Z,22loops,2365864771,106363,228
54,ant,2009-03-30T04:26:12.000Z,ThisIsNuse,27583645,110853,62241
55,notsofast,2014-06-22T15:45:53.000Z,notsofast,2631709828,186993,95888
56,AngeloƉOGE,2012-10-31T06:15:53.000Z,AngeloBTC,916257050,282920,3949
57,Sicarious💫,2014-01-22T23:42:08.000Z,Sicarious_,2305628744,105496,11216
58,path.eth 🛡️,2014-04-08T10:58:13.000Z,Cryptopathic,2433432126,184070,6526
59,Arthur Hayes,2018-04-11T09:01:15.000Z,CryptoHayes,983993370048630785,232366,331
60,Cameron Winklevoss,2011-02-12T05:41:28.000Z,cameron,250980843,712572,6209
61,elizabeth stark 🍠,2007-03-25T17:11:00.000Z,starkness,2189541,145591,13308
62,Brian Armstrong - barmstrong.eth,2008-04-14T01:10:52.000Z,brian_armstrong,14379660,1073096,979
63,Barry Silbert,2011-10-22T17:16:55.000Z,BarrySilbert,396045469,756432,11081
64,SBF,2019-03-27T12:14:41.000Z,SBF_FTX,1110877798820777986,678593,19772
65,CZ 🔶 Binance,2017-08-30T16:12:13.000Z,cz_binance,902926941413453824,6159602,3358
66,Erik Voorhees,2009-07-30T06:58:21.000Z,ErikVoorhees,61417559,596628,24358
67,jack⚡️,2006-03-21T20:50:14.000Z,jack,12,6393784,28538
68,Neeraj K. Agrawal,2008-05-09T05:38:26.000Z,NeerajKA,14710235,150233,65283
69,hayden.eth 🦄,2016-02-25T00:41:11.000Z,haydenzadams,702654540387127296,220252,4922
70,Charlie Lee Ⓜ️🕸️,2008-04-09T02:03:48.000Z,SatoshiLite,14338147,1070553,16433
71,fluffy/pony,2011-10-07T19:53:31.000Z,fluffypony,386728215,123513,47002
72,vitalik.eth,2011-05-08T16:03:03.000Z,VitalikButerin,295218901,3874335,17325
73,Charles Hoskinson,2013-04-24T04:28:32.000Z,IOHK_Charles,1376161898,923445,18167
74,zooko❤ⓩ🛡🦓🦓🦓,2008-03-20T04:21:11.000Z,zooko,14182218,76415,105668
75,@LukeDashjr@BitcoinHackers.org on Mastodon,2012-07-31T16:33:00.000Z,LukeDashjr,728747154,49939,80404
76,"T◎lyxNFT, 🇺🇸",2014-02-06T05:03:51.000Z,aeyakovenko,2327407569,173316,24836
77,Ledger 🇺🇸 Prometheus of the Plebs,2017-08-14T17:06:39.000Z,ledgerstatus,897142437344419842,203288,43475
78,Luke Martin,2017-06-22T03:24:05.000Z,VentureCoinist,877728873340956672,315699,31134
79,sassal.eth 🦇🔊🐼,2011-06-09T03:29:39.000Z,sassal0x,313724502,203706,52256
80,Leigh Cuen,2011-11-19T09:35:51.000Z,La__Cuen,416161639,40851,23702
81,Crypto Tax Girl,2018-02-16T11:34:09.000Z,CryptoTaxGirl,964462901506449408,31077,4260
82,BitMEX Research,2017-09-10T13:23:35.000Z,BitMEXResearch,906870773066772480,74265,2442
